dog,height,weight,life,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,popularity_rank,marking,temp,black_color,white_color,red_color,Coat Type_double,Coat Type_others,Coat Type_smooth,bmi
australian-terrier,0.1568627450980392,0.06578947368421052,0.5652173913043478,0.5,1.0,0.5,0.0,0.25,0.0,0.0,0.5,0.75,0.75,0.5,0.75,0.75,1.0,0.75,0.766497461928934,1.0,0.25,1.0,1.0,1.0,0.0,1.0,0.0,0.180131657690006
azawakh,0.803921568627451,0.23421052631578948,0.6086956521739131,0.5,0.5,0.5,0.25,0.25,0.0,0.0,0.0,0.5,0.5,0.5,0.25,0.5,0.0,0.5,0.934010152284264,1.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.20586475164572113
barbado-da-terceira,0.5784313725490197,0.25268484977626254,0.5652173913043478,1.0,0.75,0.5,0.0,0.25,0.0,0.5,0.5,0.5,0.5,0.75,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.3079624412583487
barbet,0.5980392156862745,0.23684210526315788,0.5652173913043478,0.75,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.7461928934010152,1.0,0.25,1.0,1.0,0.0,0.0,1.0,0.0,0.2777399451082358
basenji,0.4117647058823529,0.1,0.6086956521739131,0.5,0.5,0.5,0.25,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.25,0.75,0.0,0.75,0.4365482233502538,1.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.14077516105185342
basset-fauve-de-bretagne,0.29411764705882354,0.1368421052631579,0.6956521739130435,0.5,1.0,1.0,0.5,0.0,0.0,0.5,1.0,0.5,0.0,1.0,0.0,0.75,0.5,1.0,1.0,0.0,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.2646832521159272
basset-hound,0.3333333333333333,0.25,0.5217391304347826,0.5,1.0,1.0,0.25,0.5,0.75,0.0,0.5,0.5,0.5,0.5,0.5,0.25,0.75,0.5,0.16751269035532995,1.0,0.25,1.0,1.0,1.0,0.0,0.0,1.0,0.4631956912028725
bavarian-mountain-scent-hound,0.4803921568627451,0.24473684210526317,0.6086956521739131,0.5,0.5,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.5,0.5,0.75,0.75,0.25,0.75,1.0,1.0,0.25,0.0,0.0,1.0,0.0,0.0,1.0,0.3468821065230401
beagle,0.5294117647058824,0.25268484977626254,0.5217391304347826,0.5,1.0,1.0,0.5,0.25,0.0,0.0,0.5,0.75,0.25,0.75,0.5,0.75,0.75,0.75,0.030456852791878174,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.33203504895369207
bearded-collie,0.5882352941176471,0.23684210526315788,0.5652173913043478,0.75,1.0,1.0,0.5,0.75,0.0,1.0,0.75,0.75,0.5,0.75,0.5,0.75,1.0,0.5,0.7208121827411168,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.28186714542190305
beauceron,0.7843137254901961,0.4473684210526316,0.391304347826087,0.5,0.5,0.5,0.75,0.5,0.0,0.0,0.25,0.5,0.75,0.5,0.5,1.0,0.5,0.5,0.6091370558375635,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.4471731987398801
bedlington-terrier,0.38235294117647056,0.07894736842105263,0.6086956521739131,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.6700507614213198,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.11282971965198178
belgian-laekenois,0.7254901960784313,0.2894736842105263,0.391304347826087,0.5,0.5,0.5,0.5,0.25,0.0,0.5,0.5,0.5,0.75,0.5,1.0,0.75,0.5,0.75,0.9796954314720813,1.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.2933572710951526
belgian-malinois,0.7254901960784313,0.34210526315789475,0.7391304347826086,0.5,0.5,0.5,0.5,0.25,0.0,0.0,0.5,0.5,0.75,0.5,1.0,0.75,0.5,0.75,0.17766497461928935,1.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.3551166965888689
belgian-sheepdog,0.7254901960784313,0.3157894736842105,0.5652173913043478,0.5,0.5,0.5,0.5,0.25,0.0,0.5,0.5,0.5,0.75,0.5,1.0,0.75,0.5,0.75,0.649746192893401,1.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.3242369838420108
belgian-tervuren,0.7254901960784313,0.3157894736842105,0.5652173913043478,0.5,0.5,0.5,0.5,0.25,0.0,0.5,0.5,0.5,0.75,0.5,1.0,0.75,0.5,0.75,0.5177664974619289,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.3242369838420108
bergamasco-sheepdog,0.6666666666666666,0.37894736842105264,0.6521739130434783,0.5,0.5,0.5,0.0,0.0,0.25,1.0,0.5,0.5,0.75,0.5,0.5,0.5,0.0,0.5,0.9035532994923858,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.42870239504946717
berger-picard,0.7058823529411765,0.2894736842105263,0.5217391304347826,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.75,0.5,0.75,0.75,0.25,0.75,0.8223350253807107,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.3009196497270362
bernese-mountain-dog,0.7745098039215687,0.4868421052631579,0.17391304347826086,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.75,0.75,0.5,0.75,0.75,0.75,0.5,0.5,0.09644670050761421,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.49628109771736345
bichon-frise,0.1568627450980392,0.05263157894736842,0.6956521739130435,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.75,0.25,0.75,0.75,0.75,0.5,0.5,0.233502538071066,0.0,0.25,0.0,1.0,0.0,1.0,0.0,0.0,0.14337009489612723
biewer-terrier,0.09803921568627451,0.005263157894736842,0.8260869565217391,1.0,0.5,1.0,0.0,0.5,0.0,1.0,0.5,0.75,0.25,0.5,0.5,0.5,0.5,0.5,0.41116751269035534,0.0,0.25,1.0,1.0,0.0,0.0,1.0,0.0,0.025733093955715134
black-and-tan-coonhound,0.7647058823529411,0.4342105263157895,0.391304347826087,0.75,1.0,1.0,0.5,0.25,0.5,0.0,0.5,0.5,0.25,0.75,0.5,0.5,0.75,0.5,0.7106598984771574,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.442411269161718
